Node,Metric,Mean,Median,Standard Deviation
46,degree,1.8656589653510594,1.6025921731136634,0.10190612700138857
47,closeness,0.1038966906849712,0.10184817872887453,0.05520368143528859
47,clustering,0.018572408284002417,0.014153656145289961,2.466647923049861e-05
47,degree,2.3158728352305644,2.1564895437659715,0.022758196403114272
48,closeness,0.10888669177102805,0.08159522681558817,0.053099177881978585
48,clustering,0.02043723799260866,0.01886093943606526,0.001870408011744899
48,degree,2.663655962583988,2.692268925925646,0.29286656376380416
49,closeness,0.10554629009227523,0.07352782069078967,0.048996574189625094
49,clustering,0.020735885348501126,0.013996303364318119,0.0016817256085885982
49,degree,2.758068514915152,2.210474150482895,0.34432129809234135
50,closeness,0.09157745054462496,0.07363903186011878,0.027638648124038892
50,clustering,0.018990828076712596,0.014594108902600711,0.0002707597536853977
50,degree,2.559409873109452,2.4831887955121417,0.11516750080181692
51,closeness,0.10710847231329512,0.07158290933376987,0.0735847102189918
51,clustering,0.017684212576614455,0.009972646609535007,0.0010065402302859017
51,degree,2.1609328979633062,1.400284096008079,0.28585827729020563
52,closeness,0.10847468052383702,0.09068848388652873,0.05316906096
52,clustering,0.01710998159117727,0.013145556591844465,0.004206194614489598
52,degree,2.068416549404887,2.1576357867482088,0.7110843294259193
53,closeness,0.045582308947824,0.06602841288845118,0.03468249891546431
53,clustering,0.004624698424066875,0.007428828798817233,0.0044907103352529
53,degree,0.011521507725618108,0.30953485343118103,0.6950108905969059
54,closeness,0.026256486860273043,0.01931030474284312,0.05525701204423711
54,clustering,0.0014585324727250937,0.0006920555708207488,0.004076775514009499
54,degree,0.3670971367432827,1.0364410504631323,0.2988092139642742
55,closeness,0.052238776611379434,0.021370504837253224,0.07072628401535999
55,clustering,0.0034528915505251945,0.0018278178748898366,0.0044146245005405
55,degree,0.2312574447546254,1.532922525884672,0.47500823613867826
56,closeness,0.025319917588917606,0.01868109664240558,0.044813720603118806
56,clustering,6.950681747941445e-07,0.0010895051377058929,0.0005550271820787996
